구분1,구분2,구분3,등급
물질오용,물질오용/중독,중증 호흡곤란,1
물질오용,물질오용/중독,쇼크,1
물질오용,물질오용/중독,무의식(GCS 3-8),1
물질오용,물질오용/중독,중등도 호흡곤란,2
물질오용,물질오용/중독,혈역학적 장애,2
물질오용,물질오용/중독,의식변화(GCS 9-13),2
물질오용,물질오용/중독,"열,면역억제 상태",2
물질오용,물질오용/중독,패혈증 의증(3 SIRS 기준만족),2
물질오용,물질오용/중독,경증 호흡곤란,3
물질오용,물질오용/중독,비정상 맥박수/맥박압 (혈역학적으로 안정),3
물질오용,물질오용/중독,"열(아파보임),<3 SIRS 기준 만족",3
물질오용,물질오용/중독,"열(건강해보임), 1SIRS 기준만족(열)",4
물질오용,물질오용/중독,고위험 물질/알 수 없는 물질,2
물질오용,물질오용/중독,도주의 가능성이나 안전에 대한 위험,2
물질오용,물질오용/중독,알려진 저독성 물질,4
물질오용,과다복용,중증 호흡곤란,1
물질오용,과다복용,쇼크,1
물질오용,과다복용,무의식(GCS 3-8),1
물질오용,과다복용,중등도 호흡곤란,2
물질오용,과다복용,혈역학적 장애,2
물질오용,과다복용,의식변화(GCS 9-13),2
물질오용,과다복용,"열,면역억제 상태",2
물질오용,과다복용,패혈증 의증(3 SIRS 기준만족),2
물질오용,과다복용,경증 호흡곤란,3
물질오용,과다복용,비정상 맥박수/맥박압 (혈역학적으로 안정),3
물질오용,과다복용,"열(아파보임),<3 SIRS 기준 만족",3
물질오용,과다복용,"열(건강해보임), 1SIRS 기준만족(열)",4
물질오용,과다복용,고위험 물질/알 수 없는 물질,2
물질오용,과다복용,도주의 가능성이나 안전에 대한 위험,2
물질오용,과다복용,계획적인 자살시도,2
물질오용,과다복용,구체적인 계획이 없는 자살관념,3
물질오용,과다복용,과다복용,4
물질오용,물질금단,중증 호흡곤란,1
물질오용,물질금단,쇼크,1
물질오용,물질금단,무의식(GCS 3-8),1
물질오용,물질금단,중등도 호흡곤란,2
물질오용,물질금단,혈역학적 장애,2
물질오용,물질금단,의식변화(GCS 9-13),2
