link,title
https://v.daum.net/v/20240923154050576,반도체 발 빼는 외국인…이달만 삼성전자 '6조' 순매도
https://v.daum.net/v/20240923155332133,"'10월1일' 빅5 등 주요병원 정상진료…""환자 불편 해소 차원"""
https://v.daum.net/v/20240923150235823,"전국쌀생산자협회 “정부, 벼멸구·폭우 대책 마련하라”"
https://v.daum.net/v/20240923154441734,"""외국 게임 '먹튀' 막을 대리인 지정제도, 실효성 담보돼야"""
https://v.daum.net/v/20240923154854938,"'군사기밀'인데…여친 카톡 대화방에 암구호 기록한 병사 ""까먹을까 봐"""
https://v.daum.net/v/20240923144950098,"삼성, 인도에 1조원 규모 4G·5G 통신장비 공급"
https://v.daum.net/v/20240923132636033,이재명 재판에 등장한 이문세 노래?
https://v.daum.net/v/20240923155724307,"""로또 1등 얼마면 충분한가요?"" 정부, 의견수렴 시작"
https://v.daum.net/v/20240923153950542,"""아내가 추석에 시댁 일하고 받은 220만원, 너무 과한 거 아니냐?"" 남편의 불만"
https://v.daum.net/v/20240923160332661,"우리금융, 저출생 위기 극복 선도한다... 저출생 위기 극복에 연간 100억원 지원"
https://v.daum.net/v/20240923155215068,[날씨] 따스한 햇살 25도 웃돌아‥저녁엔 서늘
https://v.daum.net/v/20240923155151050,"추석 의료대란 없었다는 정부도, 블랙리스트 유포 의사 두둔한 의료계도 '뭇매'"
https://v.daum.net/v/20240923142658956,"""1만2000원 관광세 걷겠다""…태국, 정권 바뀌자 말 바꿔"
https://v.daum.net/v/20240923155033986,"""지원금 1억 7000만 원 이상""···국내 첫 다섯쌍둥이에 쏟아진 축하 물결"
https://v.daum.net/v/20240923152327836,"이스라엘, 레바논 지상 침공 임박했나…“필요하면 뭐든 할 것”"
https://v.daum.net/v/20240923160138488,9월에도 ‘폭염’에 배춧값 고공행진… 김장철 앞둔 소비자들 ‘울상’
https://v.daum.net/v/20240923155900366,"수현, 결혼 5년만에 파경…“각자의 길 걷기로”"
https://v.daum.net/v/20240923160030436,"[단독] MBK ""고려아연 공개매수 가격 인상 없다""…시장 예상 '일축'"
https://v.daum.net/v/20240923160233555,다시 불붙은 李 '사법리스크'…검찰 정조준하는 野
https://v.daum.net/v/20240923154254673,"[단독] 영풍, 고려아연 '황산 취급' 거절 금지 가처분…법원, 1년 6개월 강제조정"
